user_sequence,challenge
4881_13,CI24769
4883_11,CI23615
4883_12,CI23831
4883_13,CI24112
4885_11,CI25821
4885_12,CI26411
4885_13,CI26412
4886_11,CI27574
4886_12,CI27571
4886_13,CI27568
4887_11,CI24754
4887_12,CI24112
4887_13,CI23923
4891_11,CI24148
4891_12,CI23615
4891_13,CI24671
4893_11,CI26452
4893_12,CI26470
4893_13,CI26458
4895_11,CI23630
4895_12,CI24148
4895_13,CI24759
4901_11,CI25821
4901_12,CI26411
4901_13,CI26412
4902_11,CI26452
4902_12,CI26470
4902_13,CI26458
4906_11,CI23630
4906_12,CI24754
4906_13,CI23725
4912_11,CI26452
4912_12,CI26470
4912_13,CI26458
4913_11,CI23630
4913_12,CI24754
4913_13,CI23725
4915_11,CI27574
4915_12,CI27568
4915_13,CI27571
4920_11,CI25821
4920_12,CI26411
4920_13,CI26412
4926_11,CI26452
4926_12,CI26470
4926_13,CI26458
4928_11,CI23791
4928_12,CI24176
4928_13,CI23838
4929_11,CI26452
4929_12,CI26470
4929_13,CI26458
4933_11,CI23630
4933_12,CI23615
4933_13,CI24148
4935_11,CI24754
4935_12,CI23791
4935_13,CI24176
4938_11,CI26452
4938_12,CI26470
4938_13,CI26458
4941_11,CI25821
4941_12,CI26411
4941_13,CI26412
4944_11,CI23791
4944_12,CI24754
4944_13,CI24176
4945_11,CI23630
4945_12,CI23725
4945_13,CI23656
4952_11,CI23615
4952_12,CI23634
4952_13,CI24400
4954_11,CI23791
4954_12,CI23630
4954_13,CI24754
4955_11,CI26435
4955_12,CI26439
4955_13,CI26436
4957_11,CI25821
4957_12,CI26411
4957_13,CI26412
4961_11,CI25821
4961_12,CI26411
4961_13,CI26412
4962_11,CI26452
4962_12,CI26470
4962_13,CI26458
4966_11,CI25821
4966_12,CI26411
4966_13,CI26412
4968_11,CI24754
4968_12,CI23630
4968_13,CI23923
4969_11,CI25688
4969_12,CI25689
4969_13,CI23788
4970_11,CI23800
4970_12,CI24112
4970_13,CI24917
4971_11,CI23630
4971_12,CI24112
4971_13,CI24070
4973_11,CI24755
4973_12,CI24769
4973_13,CI25689
4975_11,CI25821
4975_12,CI26411
4975_13,CI26412
4987_11,CI25821
4987_12,CI26411
4987_13,CI26412
4989_11,CI24148
4989_12,CI24071
4989_13,CI23667
4993_11,CI23831
4993_12,CI23656
4993_13,CI23615
4997_11,CI24148
4997_12,CI24759
4997_13,CI24071
4998_11,CI23630
4998_12,CI23656
4998_13,CI23615
4999_11,CI26452
4999_12,CI26470
4999_13,CI26458
5001_11,CI26452
5001_12,CI26470
5001_13,CI26458
5003_11,CI27574
5003_12,CI27571
5003_13,CI27568
5006_11,CI26452
5006_12,CI26470
5006_13,CI26458
5008_11,CI25821
5008_12,CI26411
5008_13,CI26412
5015_11,CI23615
5015_12,CI23630
5015_13,CI23972
5017_11,CI25821
5017_12,CI26411
5017_13,CI26412
5020_11,CI25821
5020_12,CI26411
5020_13,CI26412
5021_11,CI25821
5021_12,CI26411
5021_13,CI26412
5023_11,CI23972
5023_12,CI23615
5023_13,CI24671
5025_11,CI26452
5025_12,CI26470
5025_13,CI26458
5027_11,CI24759
5027_12,CI23800
5027_13,CI23630
5028_11,CI26452
5028_12,CI26470
5028_13,CI26458
5033_11,CI23630
5033_12,CI24112
5033_13,CI23725
5035_11,CI27574
5035_12,CI27571
5035_13,CI27568
5037_11,CI26452
5037_12,CI26470
5037_13,CI26458
5042_11,CI25821
5042_12,CI26411
5042_13,CI26412
5044_11,CI23630
5044_12,CI24112
5044_13,CI24754
5045_11,CI24754
5045_12,CI23630
5045_13,CI23806
5047_11,CI26452
5047_12,CI26470
5047_13,CI26458
5050_11,CI25821
5050_12,CI26411
5050_13,CI26412
5051_11,CI23615
5051_12,CI24866
5051_13,CI24110
5054_11,CI26452
5054_12,CI26470
5054_13,CI26458
5055_11,CI26452
5055_12,CI26470
5055_13,CI26458
5056_11,CI25689
5056_12,CI24759
5056_13,CI24915
5057_11,CI27136
5057_12,CI27141
5057_13,CI27139
5058_11,CI24112
5058_12,CI24400
5058_13,CI23615
5060_11,CI23615
5060_12,CI23725
5060_13,CI24148
5062_11,CI23630
5062_12,CI24672
5062_13,CI23879
5063_11,CI25821
5063_12,CI26411
5063_13,CI26412
5068_11,CI23630
5068_12,CI23615
5068_13,CI23725
5074_11,CI24769
5074_12,CI23788
5074_13,CI25689
5075_11,CI25821
5075_12,CI26411
5075_13,CI26412
5077_11,CI27038
5077_12,CI27030
5077_13,CI27029
5082_11,CI27574
5082_12,CI27571
5082_13,CI27568
5084_11,CI25821
5084_12,CI26411
5084_13,CI26412
5085_11,CI24402
5085_12,CI24395
5085_13,CI23615
5087_11,CI24400
5087_12,CI23972
5087_13,CI23656
5088_11,CI26452
5088_12,CI26470
5088_13,CI26458
5090_11,CI23791
5090_12,CI24176
5090_13,CI23838
5091_11,CI25821
5091_12,CI26411
5091_13,CI26412
5096_11,CI25821
5096_12,CI26411
5096_13,CI26412
5097_11,CI24917
5097_12,CI24754
5097_13,CI24759
5101_11,CI26452
5101_12,CI26470
5101_13,CI26458
5110_11,CI25821
5110_12,CI26411
5110_13,CI26412
5112_11,CI24754
5112_12,CI23791
5112_13,CI23630
5114_11,CI25821
5114_12,CI26411
5114_13,CI26412
5121_11,CI25821
5121_12,CI26411
5121_13,CI26412
5123_11,CI23864
5123_12,CI24402
5123_13,CI24400
5124_11,CI25821
5124_12,CI26411
5124_13,CI26412
5125_11,CI25821
5125_12,CI26411
5125_13,CI26412
5127_11,CI25821
5127_12,CI26411
5127_13,CI26412
5132_11,CI25821
5132_12,CI26411
5132_13,CI26412
5138_11,CI23677
5138_12,CI25689
5138_13,CI23788
5139_11,CI27574
5139_12,CI27568
5139_13,CI27571
5140_11,CI26435
5140_12,CI26439
5140_13,CI26436
5144_11,CI23630
5144_12,CI23615
5144_13,CI24681
5146_11,CI26546
5146_12,CI26553
5146_13,CI26552
5147_11,CI24112
5147_12,CI23831
5147_13,CI23615
5151_11,CI27574
5151_12,CI27572
5151_13,CI27568
5152_11,CI24151
5152_12,CI23942
5152_13,CI23726
5157_11,CI24769
5157_12,CI24757
5157_13,CI24755
5158_11,CI23615
5158_12,CI23630
5158_13,CI24400
5159_11,CI26452
5159_12,CI26470
5159_13,CI26458
5161_11,CI26546
5161_12,CI26553
5161_13,CI26552
5163_11,CI24148
5163_12,CI24071
5163_13,CI24042
5166_11,CI23791
5166_12,CI24176
5166_13,CI24673
5167_11,CI24754
5167_12,CI24917
5167_13,CI25689
5169_11,CI25821
5169_12,CI26411
5169_13,CI26412
5172_11,CI25689
5172_12,CI24754
5172_13,CI24917
5175_11,CI23864
5175_12,CI24400
5175_13,CI24112
5180_11,CI24401
5180_12,CI24389
5180_13,CI24865
5182_11,CI24754
5182_12,CI24176
5182_13,CI23791
5184_11,CI25821
5184_12,CI26411
5184_13,CI26412
5187_11,CI23630
5187_12,CI23615
5187_13,CI23831
5188_11,CI23615
5188_12,CI23630
5188_13,CI23656
5190_11,CI24148
5190_12,CI24769
5190_13,CI24071
5192_11,CI25821
5192_12,CI26411
5192_13,CI26412
5195_11,CI24148
5195_12,CI23615
5195_13,CI24071
5197_11,CI25821
5197_12,CI26411
5197_13,CI26412
5199_11,CI23630
5199_12,CI23879
5199_13,CI24672
5202_11,CI24740
5202_12,CI24742
5202_13,CI24738
5209_11,CI24112
5209_12,CI24402
5209_13,CI24400
5212_11,CI25821
5212_12,CI26411
5212_13,CI26412
5213_11,CI25821
5213_12,CI26411
5213_13,CI26412
5214_11,CI24400
5214_12,CI24112
5214_13,CI23615
5216_11,CI27038
5216_12,CI27033
5216_13,CI27036
5218_11,CI26452
5218_12,CI26470
5218_13,CI26458
5219_11,CI25821
5219_12,CI26411
5219_13,CI26412
5220_11,CI26435
5220_12,CI26439
5220_13,CI26436
5222_11,CI24234
5222_12,CI23782
5222_13,CI24314
5225_11,CI23791
5225_12,CI23725
5225_13,CI24754
5228_11,CI24755
5228_12,CI24763
5228_13,CI23942
5229_11,CI24755
5229_12,CI24753
5229_13,CI24763
5230_11,CI27359
5230_12,CI27358
5230_13,CI27355
5234_11,CI26452
5234_12,CI26470
5234_13,CI26458
5235_11,CI24754
5235_12,CI23791
5235_13,CI23838
5236_11,CI24754
5236_12,CI23725
5236_13,CI23630
5239_11,CI26452
5239_12,CI26470
5239_13,CI26458
5240_11,CI25821
5240_12,CI26411
5240_13,CI26412
5244_11,CI24148
5244_12,CI23667
5244_13,CI24071
5246_11,CI24759
5246_12,CI23630
5246_13,CI24769
5247_11,CI26452
5247_12,CI26470
5247_13,CI26458
5249_11,CI23615
5249_12,CI24402
5249_13,CI24112
5250_11,CI24400
5250_12,CI23972
5250_13,CI24866
5252_11,CI24401
5252_12,CI24400
5252_13,CI24865
5254_11,CI25689
5254_12,CI23725
5254_13,CI24754
5258_11,CI25821
5258_12,CI26411
5258_13,CI26412
5260_11,CI27574
5260_12,CI27568
5260_13,CI27561
5262_11,CI26452
5262_12,CI26470
5262_13,CI26458
5264_11,CI25821
5264_12,CI26411
5264_13,CI26412
5265_11,CI26452
5265_12,CI26470
5265_13,CI26458
5266_11,CI26435
5266_12,CI26439
5266_13,CI26436
5268_11,CI26452
5268_12,CI26470
5268_13,CI26458
5271_11,CI25821
5271_12,CI26411
5271_13,CI26412
5283_11,CI27574
5283_12,CI27568
5283_13,CI27571
5284_11,CI27574
5284_12,CI27568
5284_13,CI27563
5286_11,CI27038
5286_12,CI27029
5286_13,CI27030
5289_11,CI24740
5289_12,CI24732
5289_13,CI24742
5297_11,CI25821
5297_12,CI26411
5297_13,CI26412
5301_11,CI24759
5301_12,CI24148
5301_13,CI23634
5303_11,CI23615
5303_12,CI23656
5303_13,CI24671
5305_11,CI25821
5305_12,CI26411
5305_13,CI26412
5309_11,CI23791
5309_12,CI23726
5309_13,CI24769
5315_11,CI25821
5315_12,CI26411
5315_13,CI26412
5319_11,CI24754
5319_12,CI23630
5319_13,CI25084
5320_11,CI23791
5320_12,CI24176
5320_13,CI23838
5326_11,CI25821
5326_12,CI26411
5326_13,CI26412
5327_11,CI26452
5327_12,CI26470
5327_13,CI26458
5328_11,CI24020
5328_12,CI23656
5328_13,CI23726
5329_11,CI25689
5329_12,CI25692
5329_13,CI23788
5331_11,CI25821
5331_12,CI26411
5331_13,CI26412
5333_11,CI25821
5333_12,CI26411
5333_13,CI26412
5338_11,CI24769
5338_12,CI23725
5338_13,CI23831
5340_11,CI25821
5340_12,CI26411
5340_13,CI26412
5346_11,CI24754
5346_12,CI23630
5346_13,CI25689
5349_11,CI24400
5349_12,CI24112
5349_13,CI23677
5351_11,CI25689
5351_12,CI23634
5351_13,CI24915
5352_11,CI27574
5352_12,CI27571
5352_13,CI27568
5358_11,CI24754
5358_12,CI24759
5358_13,CI24672
5360_11,CI24112
5360_12,CI24866
5360_13,CI24110
5365_11,CI24754
5365_12,CI25689
5365_13,CI24917
5366_11,CI27029
5366_12,CI27030
5366_13,CI27038
5368_11,CI24112
5368_12,CI24110
5368_13,CI24400
5378_11,CI25821
5378_12,CI26411
5378_13,CI26412
5381_11,CI24917
5381_12,CI25689
5381_13,CI24759
5382_11,CI26546
5382_12,CI26553
5382_13,CI26552
5384_11,CI25821
5384_12,CI26411
5384_13,CI26412
5386_11,CI24400
5386_12,CI23615
5386_13,CI24866
5387_11,CI23615
5387_12,CI23630
5387_13,CI23656
5396_11,CI25821
5396_12,CI26411
5396_13,CI26412
5398_11,CI27574
5398_12,CI27572
5398_13,CI27568
5399_11,CI26452
5399_12,CI26470
5399_13,CI26458
5401_11,CI24400
5401_12,CI23615
5401_13,CI24148
5404_11,CI26435
5404_12,CI26439
5404_13,CI26436
5406_11,CI23630
5406_12,CI23615
5406_13,CI24759
5409_11,CI25821
5409_12,CI26411
5409_13,CI26412
5417_11,CI24400
5417_12,CI23537
5417_13,CI24110
5423_11,CI25689
5423_12,CI25688
5423_13,CI24769
5424_11,CI24763
5424_12,CI23630
5424_13,CI23656
5425_11,CI25821
5425_12,CI26411
5425_13,CI26412
5428_11,CI23615
5428_12,CI23807
5428_13,CI24112
5435_11,CI25821
5435_12,CI26411
5435_13,CI26412
5436_11,CI25821
5436_12,CI26411
5436_13,CI26412
5438_11,CI24148
5438_12,CI23615
5438_13,CI24671
5440_11,CI23726
5440_12,CI24148
5440_13,CI23615
5442_11,CI25821
5442_12,CI26411
5442_13,CI26412
5443_11,CI25821
5443_12,CI26411
5443_13,CI26412
5444_11,CI26452
5444_12,CI26470
5444_13,CI26458
5446_11,CI26452
5446_12,CI26470
5446_13,CI26458
5450_11,CI24757
5450_12,CI23788
5450_13,CI25688
5451_11,CI24112
5451_12,CI23630
5451_13,CI23923
5453_11,CI25821
5453_12,CI26411
5453_13,CI26412
5454_11,CI27568
5454_12,CI27570
5454_13,CI27566
5456_11,CI24755
5456_12,CI24753
5456_13,CI24763
5460_11,CI26452
5460_12,CI26470
5460_13,CI26458
5461_11,CI23615
5461_12,CI23656
5461_13,CI24112
5462_11,CI24400
5462_12,CI23615
5462_13,CI23656
5470_11,CI27029
5470_12,CI27030
5470_13,CI27038
5471_11,CI25821
5471_12,CI26411
5471_13,CI26412
5473_11,CI26452
5473_12,CI26470
5473_13,CI26458
5477_11,CI26546
5477_12,CI26553
5477_13,CI26552
5480_11,CI25689
5480_12,CI24769
5480_13,CI25688
5481_11,CI25821
5481_12,CI26411
5481_13,CI26412
5483_11,CI26452
5483_12,CI26470
5483_13,CI26458
5485_11,CI26546
5485_12,CI26553
5485_13,CI26552
5486_11,CI24754
5486_12,CI23630
5486_13,CI23800
5487_11,CI25821
5487_12,CI26411
5487_13,CI26412
5490_11,CI26452
5490_12,CI26470
5490_13,CI26458
5495_11,CI26435
5495_12,CI26439
5495_13,CI26436
5496_11,CI26452
5496_12,CI26470
5496_13,CI26458
5504_11,CI25821
5504_12,CI26411
5504_13,CI26412
5507_11,CI27574
5507_12,CI27568
5507_13,CI27571
5510_11,CI26452
5510_12,CI26470
5510_13,CI26458
5512_11,CI26452
5512_12,CI26470
5512_13,CI26458
5516_11,CI24740
5516_12,CI24732
5516_13,CI24738
5523_11,CI26452
5523_12,CI26470
5523_13,CI26458
5526_11,CI25821
5526_12,CI26411
5526_13,CI26412
5527_11,CI24071
5527_12,CI24148
5527_13,CI23615
5528_11,CI26452
5528_12,CI26470
5528_13,CI26458
5529_11,CI23972
5529_12,CI23615
5529_13,CI24866
5531_11,CI25821
5531_12,CI26411
5531_13,CI26412
5532_11,CI26419
5532_12,CI25822
5532_13,CI26412
5533_11,CI26435
5533_12,CI26439
5533_13,CI26436
5539_11,CI24400
5539_12,CI23615
5539_13,CI24402
5543_11,CI25821
5543_12,CI26411
5543_13,CI26412
5547_11,CI24754
5547_12,CI23656
5547_13,CI24769
5555_11,CI25821
5555_12,CI26411
5555_13,CI26412
5556_11,CI25821
5556_12,CI26411
5556_13,CI26412
5561_11,CI25821
5561_12,CI26411
5561_13,CI26412
5563_11,CI27574
5563_12,CI27568
5563_13,CI27571
5565_11,CI27574
5565_12,CI27568
5565_13,CI27571
5568_11,CI24769
5568_12,CI24757
5568_13,CI23831
5573_11,CI25689
5573_12,CI24915
5573_13,CI24917
5574_11,CI26546
5574_12,CI26553
5574_13,CI26552
5577_11,CI25821
5577_12,CI26411
5577_13,CI26412
5579_11,CI25821
5579_12,CI26411
5579_13,CI26412
5582_11,CI26452
5582_12,CI26470
5582_13,CI26458
5584_11,CI25821
5584_12,CI26411
5584_13,CI26412
5599_11,CI23615
5599_12,CI24400
5599_13,CI24148
5604_11,CI25821
5604_12,CI26411
5604_13,CI26412
5607_11,CI24755
5607_12,CI24763
5607_13,CI24753
5608_11,CI25821
5608_12,CI26411
5608_13,CI26412
5612_11,CI23615
5612_12,CI24112
5612_13,CI24148
5616_11,CI24755
5616_12,CI24753
5616_13,CI24763
5620_11,CI24148
5620_12,CI23667
5620_13,CI24071
5622_11,CI24763
5622_12,CI24755
5622_13,CI24757
5623_11,CI25821
5623_12,CI26411
5623_13,CI26412
5628_11,CI25821
5628_12,CI26411
5628_13,CI26412
5629_11,CI27574
5629_12,CI27568
5629_13,CI27561
5632_11,CI24400
5632_12,CI23537
5632_13,CI24866
5642_11,CI26452
5642_12,CI26470
5642_13,CI26458
5644_11,CI26435
5644_12,CI26439
5644_13,CI26436
5645_11,CI26452
5645_12,CI26470
5645_13,CI26458
5647_11,CI24148
5647_12,CI24071
5647_13,CI23667
5648_11,CI26452
5648_12,CI26470
5648_13,CI26458
5652_11,CI24754
5652_12,CI24112
5652_13,CI23923
5655_11,CI25821
5655_12,CI26411
5655_13,CI26412
5660_11,CI24900
5660_12,CI24901
5660_13,CI24894
5663_11,CI26452
5663_12,CI26470
5663_13,CI26458
5664_11,CI26452
5664_12,CI26470
5664_13,CI26458
5665_11,CI26435
5665_12,CI26439
5665_13,CI26436
5667_11,CI24148
5667_12,CI23615
5667_13,CI23667
5668_11,CI26844
5668_12,CI27096
5668_13,CI23530
5669_11,CI24112
5669_12,CI24110
5669_13,CI24400
5676_11,CI26452
5676_12,CI26470
5676_13,CI26458
5677_11,CI24899
5677_12,CI24892
5677_13,CI24900
5684_11,CI23630
5684_12,CI24759
5684_13,CI23800
5685_11,CI24763
5685_12,CI23630
5685_13,CI24757
5686_11,CI27568
5686_12,CI27574
5686_13,CI27566
5690_11,CI26452
5690_12,CI26470
5690_13,CI26458
5691_11,CI24071
5691_12,CI25688
5691_13,CI23634
5692_11,CI25821
5692_12,CI26411
5692_13,CI26412
5693_11,CI23972
5693_12,CI24718
5693_13,CI24112
5695_11,CI25821
5695_12,CI26411
5695_13,CI26412
5698_11,CI25821
5698_12,CI26411
5698_13,CI26412
5708_11,CI24754
5708_12,CI23838
5708_13,CI25689
5709_11,CI23791
5709_12,CI24176
5709_13,CI23838
5712_11,CI24672
5712_12,CI23630
5712_13,CI23879
5714_11,CI25821
5714_12,CI26411
5714_13,CI26412
5720_11,CI24754
5720_12,CI23725
5720_13,CI23615
5721_11,CI24112
5721_12,CI24759
5721_13,CI23923
5723_11,CI24740
5723_12,CI24742
5723_13,CI24738
5726_11,CI24740
5726_12,CI24742
5726_13,CI24738
5733_11,CI23615
5733_12,CI24759
5733_13,CI24148
5735_11,CI26546
5735_12,CI26553
5735_13,CI26552
5739_11,CI23615
5739_12,CI24395
5739_13,CI24402
5741_11,CI26452
5741_12,CI26470
5741_13,CI26458
5743_11,CI24401
5743_12,CI24389
5743_13,CI24865
5745_11,CI25689
5745_12,CI25688
5745_13,CI24769
5746_11,CI24399
5746_12,CI23725
5746_13,CI24128
5747_11,CI24917
5747_12,CI24915
5747_13,CI24759
5748_11,CI25821
5748_12,CI26411
5748_13,CI26412
5750_11,CI25821
5750_12,CI26411
5750_13,CI26412
5755_11,CI23615
5755_12,CI24148
5755_13,CI24671
5756_11,CI25689
5756_12,CI24769
5756_13,CI23677
5766_11,CI25821
5766_12,CI26411
5766_13,CI26412
5768_11,CI23791
5768_12,CI24754
5768_13,CI23630
5771_11,CI25821
5771_12,CI26411
5771_13,CI26412
5772_11,CI24148
5772_12,CI24769
5772_13,CI24759
5774_11,CI27574
5774_12,CI27568
5774_13,CI27566
5778_11,CI24930
5778_12,CI24934
5778_13,CI24923
5780_11,CI24740
5780_12,CI24844
5780_13,CI24732
5782_11,CI27568
5782_12,CI27561
5782_13,CI27570
5785_11,CI24844
5785_12,CI24740
5785_13,CI24738
5787_11,CI26452
5787_12,CI26470
5787_13,CI26458
5791_11,CI23630
5791_12,CI24759
5791_13,CI24070
5795_11,CI23791
5795_12,CI23838
5795_13,CI23726
5796_11,CI26435
5796_12,CI26439
5796_13,CI26436
5798_11,CI26452
5798_12,CI26470
5798_13,CI26458
5801_11,CI23615
5801_12,CI23725
5801_13,CI24681
5803_11,CI26435
5803_12,CI26439
5803_13,CI26436
5804_11,CI25821
5804_12,CI26411
5804_13,CI26412
5805_11,CI24769
5805_12,CI25689
5805_13,CI23788
5808_11,CI26452
5808_12,CI26470
5808_13,CI26458
5809_11,CI24400
5809_12,CI23972
5809_13,CI24110
5810_11,CI25821
5810_12,CI26411
5810_13,CI26412
5820_11,CI25821
5820_12,CI26411
5820_13,CI26412
5822_11,CI23615
5822_12,CI24148
5822_13,CI24671
5823_11,CI24071
5823_12,CI24148
5823_13,CI23667
5825_11,CI26452
5825_12,CI26470
5825_13,CI26458
5827_11,CI23656
5827_12,CI23725
5827_13,CI23831
5828_11,CI24401
5828_12,CI23864
5828_13,CI24402
5829_11,CI27574
5829_12,CI27570
5829_13,CI27568
